一昨年,おととし<br><br>year before last,N3 N5
一番,いちばん<br><br>(1) best; first; number one <br>(2) game; round; bout; fall; event (in a meet),N3 N5
一部,いちぶ<br><br>(1) one part; one portion; one section; some <br>(2) one copy (e.g. of a document),N3 N5
一緒,いっしょ<br><br>(1) together <br>(2) at the same time <br>(3) same; identical,N3 N5
一定,いってい<br><br>fixed; settled; constant; definite; uniform; regularized; regularised; defined; standardized; standardised; certain; prescribed,N3 N5
一昨日,おととい<br><br>day before yesterday,N3 N5
二十歳,はたち<br><br>(1) 20 years old <br>(2) twenty,N3 N5
十字路,じゅうじろ<br><br>crossroads,N3 N5 N4
百科辞典,ひゃっかじてん<br><br>encyclopedia; encyclopaedia,N3 N5 N1
向上,こうじょう<br><br>elevation; rise; improvement; advancement; progress,N3 N5
上演,"じょうえん<br><br>performance (e.g. music, theatre, opera); staging",N3 N5
頂上,ちょうじょう<br><br>top; summit; peak,N3 N5
途上,とじょう<br><br>(1) en route; half-way <br>(2) on the road; in the street,N3 N5
申し上げる,もうしあげる<br><br>(1) to say; to tell; to state <br>(2) to do for,N3 N5
上位,じょうい<br><br>(1) superior (in rank); top; ranking <br>(2) higher order (e.g. byte) <br>(3) host computer (of connected device),N3 N5
取上げる,とりあげる<br><br>(1) to pick up; to take up <br>(2) to adopt; to accept; to listen to <br>(3) to take away; to confiscate; to deprive; to disqualify <br>(4) to deliver (a child),N3 N5
上達,じょうたつ<br><br>(1) improvement; advance; progress <br>(2) communication of opinions of the general populace to those of high rank,N3 N5
差し上げる,さしあげる<br><br>(1) to give; to offer <br>(2) to lift up; to hold up; to raise,N3 N5
上等,じょうとう<br><br>(1) superiority; first-class; very good <br>(2) (that's) just fine!; bring it on!,N3 N5
参上,さんじょう<br><br>calling on; visiting,N3 N5
部下,ぶか<br><br>subordinate person,N3 N5
下降,かこう<br><br>downward; descent; fall; drop; subsidence,N3 N5
下宿,げしゅく<br><br>oarding; lodging; boarding house,N3 N5
落下,らっか<br><br>fall; drop; come down,N3 N5
靴下,くつした<br><br>socks; sock; stockings; stocking,N3 N5
下調べ,したしらべ<br><br>preliminary investigation; preparation,N3 N5
下取り,したどり<br><br>trade in; part exchange,N3 N5
お掛け下さい,おかけください<br><br>please sit down; please have a seat,N3 N5
左利き,ひだりきき<br><br>left-handedness; sake drinker; left-hander,N3 N5
左様なら,さようなら<br><br>good-bye,N3 N5
途中,とちゅう<br><br>(1) on the way; en route <br>(2) in the middle of; midway,N3 N5
背中,せなか<br><br>ack (of body),N3 N5
中断,ちゅうだん<br><br>interruption; suspension; break,N3 N5
中途,ちゅうと<br><br>in the middle; half-way,N3 N5
連中,れんちゅう<br><br>(1) colleagues; company; a lot; those guys <br>(2) troupe; company (of musicians),N3 N5
命中,めいちゅう<br><br>a hit; hitting something that was aimed at,N3 N5
中性,"ちゅうせい<br><br>(1) neutrality (incl. chemical, electrical, etc.); indifference <br>(2) sexlessness; androgyny; androgyne; neuter <br>(3) neuter gender",N3 N5
中和,ちゅうわ<br><br>neutralize; neutralise; counteract,N3 N5
中腹,ちゅうふく<br><br>mountain side; halfway up,N3 N5
中指,なかゆび<br><br>middle finger,N3 N5
夢中,むちゅう<br><br>daze; (in a) trance; ecstasy; delirium; engrossment; within a (deep) dream,N3 N5
熱中,ねっちゅう<br><br>nuts!; enthusiasm; zeal; mania,N3 N5
最中,さいちゅう<br><br>in the middle of; height of; in course of; midst,N3 N5
御中,おんちゅう<br><br>and Company; Messrs; for the attention of ...,N3 N5
中程,なかほど<br><br>middle; midway,N3 N5
中っ腹,ちゅうっぱら<br><br>anger (held in check); irritation; rage,N3 N5
大変,たいへん<br><br>(1) very; greatly <br>(2) immense; enormous; great <br>(3) serious; grave; dreadful; terrible <br>(4) difficult; hard <br>(5) major incident; disaster,N3 N5
大戦,たいせん<br><br>great war; great battle,N3 N5
大丈夫,だいじょうぶ<br><br>safe; all right; OK; okay,N3 N5 N1
増大,ぞうだい<br><br>enlargement; increase,N3 N5
大部分,だいぶぶん<br><br>most part; greater part; majority,N3 N5
偉大,いだい<br><br>greatness,N3 N5
大部,"たいぶ<br><br>(1) lengthy (of a book, etc.); voluminous <br>(2) most (e.g. most part); greater; fairly; a good deal; much",N3 N5
小児科,しょうにか<br><br>pediatrics,N3 N5 N2
小指,こゆび<br><br>(1) little finger; pinky <br>(2) little toe,N3 N5
小数,しょうすう<br><br>fraction (part of); decimal fraction,N3 N5
月給,げっきゅう<br><br>monthly salary,N3 N5
月末,げつまつ<br><br>end of the month,N3 N5
満月,まんげつ<br><br>full moon,N3 N5
日付け,ひづけ<br><br>date; dating,N3 N5
昨日,きのう<br><br>yesterday,N3 N5
日程,にってい<br><br>schedule; program; programme; agenda,N3 N5
日常,にちじょう<br><br>ordinary; regular; everyday; usual,N3 N5
当日,とうじつ<br><br>appointed day; very day,N3 N5
連日,れんじつ<br><br>every day; prolonged,N3 N5
日記,にっき<br><br>diary; journal,N3 N5
期日,きじつ<br><br>fixed date; settlement date,N3 N5
平日,へいじつ<br><br>(1) weekday; ordinary days (i.e. non-holiday) <br>(2) kanji radical 73,N3 N5
日差し,ひざし<br><br>sunlight; rays of the sun,N3 N5
日向,ひなた<br><br>sunny place; in the sun,N3 N5
日取り,ひどり<br><br>fixed date; appointed day,N3 N5
日当たり,ひあたり<br><br>(1) exposure to the sun; sunny place <br>(2) per day,N3 N5
日本式,にほんしき<br><br>Japanese style,N3 N5
定休日,ていきゅうび<br><br>egular holiday; fixed day off; regular closing day,N3 N5
日当,にっとう<br><br>daily allowance,N3 N5
一昨昨日,いっさくさくじつ<br><br>two days before yesterday; three days back (ago),N3 N5
年寄り,としより<br><br>(1) old people; the aged <br>(2) sumo coaches,N3 N5
定年,ていねん<br><br>(1) retirement age <br>(2) years of service in a military rank before eligibility for promotion,N3 N5
晩年,ばんねん<br><br>(one's) last years,N3 N5
成年,せいねん<br><br>adult age; majority,N3 N5
年号,ねんごう<br><br>name of an era; year number,N3 N5
早速,さっそく<br><br>at once; immediately; without delay; promptly,N3 N4
最早,もはや<br><br>(1) already; now <br>(2) no longer; not any more,N3 N4
雑木,ざつぼく<br><br>various kinds of small trees; assorted trees,N3 N5
登山,とざん<br><br>mountain climbing,N3 N5
山腹,さんぷく<br><br>hillside; mountainside,N3 N5
空港,くうこう<br><br>airport,N3 N5
空想,くうそう<br><br>daydream; fantasy; fancy; vision,N3 N5
空腹,くうふく<br><br>hunger,N3 N5
田園,でんえん<br><br>(1) country; rural districts <br>(2) cultivated land; fields,N3 N4
天然,てんねん<br><br>(1) nature; spontaneity <br>(2) natural airhead,N3 N5
天候,てんこう<br><br>weather,N3 N5
天才,てんさい<br><br>genius; prodigy; natural gift,N3 N5
晴天,せいてん<br><br>fine weather (i.e. little or no clouds); fair weather; clear weather; clear sky; fair skies,N3 N5
天気予報,てんきよほう<br><br>weather forecast; weather report,N3 N5
生活,せいかつ<br><br>living; life (one's daily existence); livelihood,N3 N5
生徒,せいと<br><br>pupil,N3 N5
生命,せいめい<br><br>life; existence,N3 N5
留学生,りゅうがくせい<br><br>overseas student; exchange student,N3 N5
一生懸命,いっしょうけんめい<br><br>very hard; with utmost effort; with all one's might; for dear life,N3 N5 N1
生存,せいぞん<br><br>(1) existence; being; survival <br>(2) to exist; to live; to survive,N3 N5
生育,せいいく<br><br>growth; development; breeding,N3 N5
生真面目,きまじめ<br><br>too serious; person who is too serious; honesty; sincerity,N3 N5 N4
草,くさ<br><br>(1) grass; weed; herb; thatch <br>(2) ninja <br>(3) not genuine; substandard,N3
煙草,タバコ<br><br>tobacco; cigarettes,N3
草履,ぞうり<br><br>zori (Japanese footwear sandals),N3 N1
草臥れる,くたびれる<br><br>to get tired; to wear out,N0 N3
虫歯,むしば<br><br>cavity; tooth decay; decayed tooth; caries,N3 N2
夫人,"ふじん<br><br>(1) wife; Mrs; madam <br>(2) wife of a nobleman (aristocrat, etc.) <br>(3) consort of the emperor",N3 N5
